city,course,batch_type,weekly_study_hours,attendance_pct,prev_exam_score,mock_test_3,income_bracket,feedback_text
Pune,Math,Evening,0.2,20.0,,57.8,Medium,Materials were comprehensive
Pune,Chemistry,Evening,2.2,20.0,,78.9,Medium,Pace was too fast
Chennai,Biology,Weekend,5.9,60.0,50.7,79.2,Medium,Pace was too fast
Bangalore,Chemistry,Weekend,8.5,85.0,85.6,64.1,High,"Great course, learned a lot"
Delhi,Biology,Evening,24.0,80.1,70.5,33.7,Medium,Materials were comprehensive
Delhi,CS,Morning,5.6,87.2,91.6,55.1,,Need more visual aids
Pune,CS,Morning,7.5,41.6,64.8,33.3,Medium,Materials were comprehensive
Bangalore,Physics,Weekend,22.3,85.4,56.6,48.1,,Instructor was very helpful
Mumbai,Biology,Morning,14.4,60.2,59.8,47.6,Low,Would recommend to others
Pune,Physics,Evening,3.8,57.4,36.0,99.8,Low,Pace was too fast
Chennai,Math,Weekend,6.8,97.0,39.0,55.7,High,Need more visual aids
Chennai,CS,Morning,3.8,77.0,86.8,67.0,Medium,Would recommend to others
Delhi,Biology,Morning,7.0,36.5,,,Medium,"Great course, learned a lot"
Bangalore,Chemistry,Weekend,10.7,43.4,72.5,30.1,Medium,Need more visual aids
Chennai,Physics,Evening,13.6,76.3,56.4,54.3,Low,Would recommend to others
Mumbai,CS,Weekend,0.9,65.0,68.3,84.0,Low,Pace was too fast
Delhi,Math,Morning,18.3,50.4,74.1,83.6,High,Would recommend to others
Bangalore,Math,Evening,5.6,20.4,,74.4,Medium,Materials were comprehensive
Delhi,Physics,Weekend,,56.8,75.9,45.4,High,Materials were comprehensive
Delhi,Physics,Evening,1.5,76.0,48.9,60.2,Low,
Chennai,Math,Morning,18.2,20.0,,84.8,Medium,Need more visual aids
Delhi,CS,Evening,9.4,93.5,72.6,49.4,Medium,Could use more practice problems
Delhi,Math,Evening,12.7,40.2,68.0,100.0,High,Would recommend to others
Bangalore,Chemistry,Evening,3.6,83.5,48.7,50.6,Low,Would recommend to others
Chennai,Biology,Evening,0.9,35.8,,60.8,Low,Could use more practice problems
Delhi,Chemistry,Morning,3.1,75.8,52.3,31.4,Medium,Need more visual aids
Delhi,Physics,Evening,16.8,52.5,90.0,50.4,Low,Would recommend to others
Pune,Physics,Weekend,1.4,51.9,67.7,52.8,Low,Pace was too fast
Delhi,Biology,Weekend,9.8,50.2,61.4,79.6,Low,Need more visual aids
Delhi,Math,Weekend,4.5,75.8,53.8,,Low,Would recommend to others
Mumbai,CS,Weekend,4.8,78.3,55.5,,,Excellent teaching style
Pune,Physics,Weekend,33.3,28.3,,45.8,High,"Great course, learned a lot"
Pune,Biology,Evening,6.7,95.2,61.6,56.8,Medium,
Pune,Chemistry,Evening,13.6,80.0,55.0,43.5,Medium,Instructor was very helpful
Bangalore,Physics,Weekend,4.3,94.3,53.5,100.0,Low,Could use more practice problems
Chennai,Biology,Evening,2.2,25.8,,,Medium,Would recommend to others
Chennai,CS,Evening,5.7,37.3,,,Low,Pace was too fast
Chennai,CS,Morning,2.2,60.3,79.1,48.2,High,Pace was too fast
Bangalore,Math,Evening,5.6,32.6,,68.3,Low,Instructor was very helpful
Bangalore,Chemistry,Morning,1.6,79.2,59.1,70.8,High,Could use more practice problems
Mumbai,Biology,Evening,0.9,21.0,,30.8,High,Excellent teaching style
Delhi,Biology,Weekend,16.8,98.5,66.8,69.2,Medium,Pace was too fast
Bangalore,Chemistry,Morning,4.2,49.4,61.2,96.8,Low,Could use more practice problems
Pune,CS,Evening,15.1,32.3,,76.4,Medium,"Great course, learned a lot"
Delhi,Physics,Morning,3.1,58.0,36.5,38.3,Medium,"Great course, learned a lot"
Bangalore,Biology,Morning,,20.0,,54.7,Medium,
Mumbai,Biology,Morning,7.9,84.6,81.4,54.7,Low,Instructor was very helpful
Pune,Physics,Evening,21.8,73.7,70.9,64.9,Medium,Could use more practice problems
Mumbai,Math,Evening,1.2,35.0,,,Medium,Could use more practice problems
Bangalore,Physics,Morning,7.7,20.0,,58.2,Medium,Excellent teaching style
Chennai,Chemistry,Weekend,0.2,50.8,68.9,33.4,,Pace was too fast
Delhi,Biology,Weekend,1.3,72.6,67.7,47.5,Medium,Materials were comprehensive
Chennai,Chemistry,Weekend,2.7,62.8,70.0,60.2,High,Would recommend to others
Chennai,Biology,Morning,10.6,68.0,42.9,65.7,Medium,Could use more practice problems
Delhi,Physics,Evening,10.3,90.4,62.2,48.0,,Materials were comprehensive
Chennai,Chemistry,Weekend,9.7,89.6,72.4,60.7,Medium,Excellent teaching style
Mumbai,Math,Evening,3.3,20.0,,70.2,Low,
Delhi,Physics,Weekend,34.5,76.5,53.8,70.7,High,Need more visual aids
Pune,Biology,Weekend,7.0,58.6,78.2,71.9,Low,"Great course, learned a lot"
Pune,Physics,Evening,21.2,67.3,43.6,,Low,Instructor was very helpful
Bangalore,Chemistry,Morning,4.4,24.3,,50.9,Medium,Materials were comprehensive
Chennai,CS,Evening,6.9,79.8,79.4,68.2,Low,Need more visual aids
Pune,Biology,Morning,23.4,43.9,95.2,57.5,Medium,Would recommend to others
Delhi,Physics,Weekend,3.6,32.0,,71.6,Medium,Could use more practice problems
Mumbai,Chemistry,Morning,18.2,43.4,71.8,58.6,High,Instructor was very helpful
Bangalore,Physics,Morning,9.2,91.7,44.2,93.3,Medium,"Great course, learned a lot"
Mumbai,Biology,Evening,11.8,20.0,,59.6,High,Could use more practice problems
Mumbai,CS,Morning,1.6,48.1,76.0,73.2,High,Could use more practice problems
Delhi,Biology,Morning,5.4,90.1,51.1,,Medium,Excellent teaching style
Mumbai,CS,Morning,19.1,82.7,53.4,,Low,Pace was too fast
Delhi,CS,Morning,,58.1,52.5,,Medium,Excellent teaching style
Delhi,Chemistry,Morning,1.5,60.5,74.9,30.1,Medium,Would recommend to others
Mumbai,Physics,Evening,12.5,29.0,,52.1,Low,Materials were comprehensive
Delhi,CS,Morning,3.1,64.4,45.8,92.3,Medium,"Great course, learned a lot"
Mumbai,Chemistry,Evening,0.1,95.3,73.1,50.3,Medium,Instructor was very helpful
Delhi,Physics,Morning,9.2,85.5,73.8,,High,Could use more practice problems
Mumbai,CS,Weekend,22.5,89.1,92.5,37.9,Medium,Pace was too fast
Chennai,Biology,Morning,6.8,42.4,79.4,,High,
Bangalore,Biology,Weekend,2.1,89.3,86.1,76.1,,Need more visual aids
Bangalore,CS,Weekend,11.0,60.6,55.0,85.8,Medium,Materials were comprehensive
Chennai,CS,Morning,5.7,64.0,69.3,54.2,Medium,Would recommend to others
Pune,Chemistry,Evening,3.8,83.7,96.7,72.0,Medium,Would recommend to others
Mumbai,Physics,Evening,14.9,67.7,71.2,78.8,Low,Would recommend to others
Pune,Physics,Weekend,,63.9,62.0,60.2,High,Need more visual aids
Bangalore,Physics,Weekend,2.5,78.0,75.3,,High,Pace was too fast
Chennai,CS,Weekend,19.7,68.6,71.7,74.5,Medium,Pace was too fast
Bangalore,Physics,Weekend,,64.2,86.8,33.9,Medium,
Pune,CS,Evening,0.4,67.2,58.3,53.0,,"Great course, learned a lot"
Pune,CS,Morning,0.4,44.9,64.0,39.3,Low,Need more visual aids
Bangalore,Biology,Morning,1.4,77.5,79.5,82.1,Low,Would recommend to others
Delhi,Chemistry,Evening,3.8,74.4,45.9,68.3,Medium,Need more visual aids
Pune,Math,Weekend,4.6,58.1,78.6,50.7,Medium,Need more visual aids
Chennai,CS,Morning,8.0,74.6,68.0,78.7,Medium,Could use more practice problems
Chennai,CS,Evening,17.9,91.2,78.7,61.0,Medium,"Great course, learned a lot"
Pune,Physics,Weekend,11.0,81.3,51.9,70.0,Medium,Need more visual aids
Delhi,Math,Morning,1.7,82.5,75.2,64.0,Medium,Need more visual aids
Delhi,CS,Morning,7.5,75.2,71.0,68.2,Medium,Excellent teaching style
Bangalore,Biology,Morning,17.7,62.2,69.6,69.8,Low,Instructor was very helpful
Mumbai,Math,Weekend,0.7,76.5,40.8,67.8,High,Would recommend to others
Chennai,Physics,Morning,1.2,76.6,69.4,89.9,Medium,Instructor was very helpful
Delhi,CS,Evening,0.4,45.3,74.9,,Medium,Excellent teaching style
Delhi,Math,Evening,20.9,20.0,,31.4,Low,Could use more practice problems
Delhi,CS,Evening,16.5,51.3,84.8,75.4,,"Great course, learned a lot"
Bangalore,Math,Evening,3.1,75.3,83.3,63.8,Low,Need more visual aids
Pune,Physics,Evening,19.7,47.9,53.2,,Medium,Materials were comprehensive
Pune,CS,Evening,1.3,41.3,36.5,49.9,Low,Materials were comprehensive
Pune,Math,Weekend,10.4,20.0,,,Medium,
Delhi,CS,Weekend,14.6,46.7,58.2,44.4,Medium,Would recommend to others
Delhi,Physics,Weekend,13.2,73.5,72.8,74.1,Low,Could use more practice problems
Bangalore,Biology,Weekend,24.6,57.2,77.5,91.2,High,Excellent teaching style
Pune,Math,Weekend,9.1,89.2,82.2,48.5,,
Bangalore,Physics,Weekend,4.5,64.3,74.8,41.9,Low,
Mumbai,Chemistry,Evening,10.2,49.9,66.4,48.1,Medium,Materials were comprehensive
Mumbai,Math,Weekend,5.1,45.5,69.2,39.9,,Excellent teaching style
Mumbai,CS,Evening,46.1,69.0,96.7,68.3,Medium,Instructor was very helpful
Mumbai,Math,Weekend,1.8,96.2,52.8,61.7,High,"Great course, learned a lot"
Delhi,Biology,Weekend,5.9,54.8,64.4,47.7,Medium,Excellent teaching style
Delhi,Biology,Weekend,5.4,70.0,87.9,55.4,Medium,
Mumbai,Math,Weekend,0.1,22.3,,49.3,Low,Excellent teaching style
Chennai,Math,Weekend,22.6,27.3,,69.9,Low,"Great course, learned a lot"
Chennai,Physics,Weekend,,58.5,74.8,85.5,High,Excellent teaching style
Mumbai,Physics,Weekend,15.9,95.2,65.8,44.0,Low,"Great course, learned a lot"
Mumbai,CS,Morning,3.1,44.5,49.6,30.3,Medium,Could use more practice problems
Mumbai,CS,Evening,1.0,57.8,39.7,86.4,High,Need more visual aids
Chennai,Math,Weekend,6.6,77.6,57.3,38.4,Medium,Need more visual aids
Bangalore,Physics,Weekend,0.8,90.4,58.2,45.5,Medium,Excellent teaching style
Delhi,Chemistry,Morning,0.9,77.4,59.1,,Low,Excellent teaching style
Pune,Math,Morning,3.7,77.9,87.3,38.1,High,Would recommend to others
Bangalore,Math,Weekend,0.1,83.3,26.8,54.6,Low,Could use more practice problems
Mumbai,Chemistry,Morning,4.5,97.9,68.7,92.2,Low,Pace was too fast
Delhi,Chemistry,Evening,11.5,87.4,86.6,74.5,,Materials were comprehensive
Delhi,Physics,Morning,5.6,27.5,,34.6,Medium,Materials were comprehensive
Delhi,Math,Evening,11.0,71.3,48.9,90.5,High,Would recommend to others
Mumbai,Physics,Morning,1.4,75.3,55.6,,Low,
Bangalore,Chemistry,Evening,3.3,64.0,42.2,66.7,High,Materials were comprehensive
Pune,Physics,Morning,1.9,50.1,46.3,89.7,Medium,Excellent teaching style
Pune,Chemistry,Evening,2.4,41.2,52.6,,Low,Instructor was very helpful
Delhi,Physics,Morning,7.9,20.0,,57.2,Medium,Would recommend to others
Delhi,CS,Evening,4.6,68.9,65.1,47.1,Low,Could use more practice problems
Bangalore,CS,Weekend,1.0,72.7,22.6,31.0,Medium,Materials were comprehensive
Chennai,Chemistry,Evening,14.8,92.4,67.9,,Medium,"Great course, learned a lot"
Chennai,Chemistry,Morning,8.8,39.5,,39.8,Medium,
Mumbai,Biology,Morning,0.2,93.8,36.0,65.8,Medium,Need more visual aids
Pune,CS,Evening,4.4,46.6,52.0,46.1,Medium,"Great course, learned a lot"
Bangalore,Chemistry,Weekend,,81.7,77.0,,Medium,
Delhi,Math,Morning,7.8,70.9,40.5,,Low,Pace was too fast
Bangalore,Chemistry,Evening,3.9,91.6,60.7,30.9,Medium,Could use more practice problems
Pune,CS,Weekend,3.0,65.9,61.3,60.6,Medium,Instructor was very helpful
Bangalore,Physics,Weekend,5.9,73.1,72.1,67.4,Low,Need more visual aids
Pune,CS,Evening,0.5,62.2,63.8,49.6,Low,Pace was too fast
Mumbai,Biology,Evening,8.2,37.4,,83.4,Medium,Instructor was very helpful
Pune,Biology,Evening,8.0,88.0,59.6,34.2,Low,Excellent teaching style
Pune,CS,Evening,8.2,63.6,84.7,45.6,Medium,"Great course, learned a lot"
Bangalore,Math,Evening,22.9,44.2,82.5,50.0,Medium,Instructor was very helpful
Chennai,CS,Evening,5.8,27.1,,,High,"Great course, learned a lot"
Chennai,CS,Evening,2.1,99.8,53.8,85.9,High,"Great course, learned a lot"
Delhi,Math,Evening,12.7,89.1,25.7,54.8,Low,Materials were comprehensive
Delhi,Chemistry,Weekend,17.7,33.6,,52.7,Medium,Excellent teaching style
Pune,Physics,Evening,1.1,83.6,59.8,,High,Would recommend to others
Bangalore,Biology,Weekend,13.5,75.5,78.0,,Medium,
Delhi,CS,Morning,2.7,52.5,88.8,48.1,High,Instructor was very helpful
Chennai,Physics,Weekend,8.9,45.5,71.2,67.6,,Could use more practice problems
Chennai,Biology,Morning,4.2,62.9,63.5,40.5,Low,Excellent teaching style
Bangalore,Chemistry,Morning,4.3,86.0,65.8,52.2,High,Excellent teaching style
Pune,Chemistry,Weekend,1.6,48.0,66.9,58.1,Low,Would recommend to others
Pune,Biology,Weekend,29.3,20.0,,41.4,Low,Need more visual aids
Bangalore,Physics,Weekend,3.6,52.1,66.6,61.7,Medium,Materials were comprehensive
Delhi,Chemistry,Evening,14.1,43.3,60.6,57.9,Medium,Could use more practice problems
Pune,Chemistry,Weekend,28.0,64.9,70.7,,Medium,Need more visual aids
Mumbai,Math,Evening,9.1,20.0,,46.1,Low,Need more visual aids
Mumbai,Physics,Weekend,0.1,35.8,,56.0,Low,
Bangalore,Math,Weekend,7.2,55.3,68.0,82.1,Medium,"Great course, learned a lot"
Mumbai,Math,Weekend,7.2,20.0,,46.5,Medium,
Chennai,Chemistry,Weekend,7.0,67.2,71.9,45.9,Low,Materials were comprehensive
Pune,Biology,Evening,2.3,24.9,,73.5,Medium,Could use more practice problems
Delhi,CS,Evening,2.6,62.9,53.9,,Low,Need more visual aids
Mumbai,CS,Morning,1.1,83.8,60.4,38.2,High,Need more visual aids
Chennai,Biology,Weekend,1.6,77.6,72.8,35.9,Medium,Need more visual aids
Bangalore,Chemistry,Evening,8.9,63.4,65.2,85.1,Medium,Pace was too fast
Mumbai,Math,Evening,1.0,45.4,64.8,43.3,Medium,Instructor was very helpful
Pune,Physics,Evening,2.6,28.7,,,Low,Excellent teaching style
Pune,CS,Morning,2.6,75.2,50.9,,Medium,Pace was too fast
Bangalore,Physics,Evening,,22.6,,36.3,Low,Could use more practice problems
Pune,Math,Weekend,10.9,25.2,,,Medium,Pace was too fast
Mumbai,Chemistry,Weekend,3.1,98.6,73.4,66.3,Low,"Great course, learned a lot"
Delhi,Biology,Evening,7.1,56.0,56.4,45.9,Medium,"Great course, learned a lot"
Mumbai,CS,Evening,22.4,47.8,37.1,67.0,Low,Excellent teaching style
Delhi,Math,Evening,0.2,24.4,,33.3,Medium,"Great course, learned a lot"
Mumbai,Physics,Evening,9.7,39.0,,43.3,,Instructor was very helpful
Delhi,CS,Morning,19.0,20.0,,52.1,High,Would recommend to others
Bangalore,Math,Evening,10.5,64.2,58.3,40.7,Low,"Great course, learned a lot"
Chennai,CS,Evening,6.8,41.5,80.9,67.8,High,Excellent teaching style
Mumbai,Physics,Evening,5.9,20.0,,49.3,Low,Materials were comprehensive
Chennai,Chemistry,Evening,0.4,87.1,54.0,34.9,Low,Materials were comprehensive
Chennai,Physics,Evening,3.9,36.2,,52.0,Low,"Great course, learned a lot"
Mumbai,CS,Evening,1.2,61.0,83.0,47.5,High,Excellent teaching style
Pune,Physics,Morning,8.4,89.6,64.9,75.4,High,Need more visual aids
Delhi,Math,Morning,5.4,60.1,76.2,,Medium,Excellent teaching style
Pune,Chemistry,Morning,19.9,76.6,49.3,45.0,High,Could use more practice problems
Pune,CS,Weekend,5.9,26.3,,,Low,Instructor was very helpful
Chennai,Biology,Evening,5.9,51.6,57.1,41.4,,Could use more practice problems
Pune,CS,Weekend,2.8,53.8,73.5,44.1,,
Chennai,Math,Weekend,0.7,41.3,64.9,59.1,Low,Pace was too fast
Mumbai,CS,Morning,8.0,45.8,78.9,59.5,High,Could use more practice problems
Bangalore,Chemistry,Morning,4.1,84.9,95.6,58.3,Low,Would recommend to others
Chennai,Math,Weekend,1.4,20.0,,,Medium,Materials were comprehensive
Delhi,Physics,Evening,18.6,44.5,67.8,61.3,Medium,Pace was too fast
Delhi,Math,Evening,3.3,66.5,40.1,71.7,Medium,Pace was too fast
Mumbai,Biology,Evening,0.6,74.8,60.9,64.4,Medium,Could use more practice problems
Mumbai,Biology,Weekend,0.0,63.6,59.0,47.3,Low,Pace was too fast
Mumbai,Chemistry,Weekend,15.0,69.5,56.2,98.2,Medium,Pace was too fast
Mumbai,Chemistry,Evening,2.3,80.1,63.1,43.4,Medium,Would recommend to others
Pune,Chemistry,Morning,7.1,20.9,,34.5,Medium,Instructor was very helpful
Delhi,Biology,Morning,13.2,77.8,59.3,86.2,Medium,Pace was too fast
Pune,Math,Evening,24.1,47.5,57.6,,Low,Materials were comprehensive
Bangalore,Biology,Morning,19.7,32.0,,97.0,Medium,
Chennai,Chemistry,Morning,0.9,57.9,46.2,,Medium,Materials were comprehensive
Mumbai,Physics,Morning,,66.3,92.9,61.1,Medium,Could use more practice problems
Chennai,Chemistry,Weekend,15.9,35.7,,72.2,High,Would recommend to others
Bangalore,Chemistry,Evening,0.1,20.0,,49.1,Medium,"Great course, learned a lot"
Chennai,Biology,Morning,27.0,52.3,58.1,86.7,Low,Pace was too fast
Bangalore,CS,Morning,1.3,55.9,80.0,,Low,Pace was too fast
Delhi,Physics,Evening,23.9,36.1,,69.2,Medium,Could use more practice problems
Delhi,Math,Evening,17.5,66.3,57.0,30.2,High,Could use more practice problems
Mumbai,Physics,Morning,0.9,39.5,,50.4,,Pace was too fast
Mumbai,Math,Evening,26.0,47.7,61.1,63.9,Medium,Would recommend to others
Chennai,CS,Weekend,10.0,38.9,,41.6,Medium,Could use more practice problems
Bangalore,Math,Weekend,0.8,90.5,83.1,40.4,Medium,Would recommend to others
Chennai,Chemistry,Evening,18.1,76.7,37.8,58.6,Medium,Materials were comprehensive
Bangalore,Physics,Evening,3.5,75.9,60.0,67.8,Medium,Materials were comprehensive
Mumbai,Physics,Morning,7.7,71.1,42.4,43.5,Medium,"Great course, learned a lot"
Mumbai,Biology,Evening,,43.8,100.0,36.5,High,Materials were comprehensive
Mumbai,Physics,Evening,24.6,72.8,47.4,55.8,Medium,Materials were comprehensive
Bangalore,Math,Evening,1.9,84.9,88.4,41.0,Medium,"Great course, learned a lot"
Pune,CS,Morning,9.5,88.6,82.8,80.9,High,Instructor was very helpful
Mumbai,Math,Morning,1.5,71.0,61.8,94.3,Low,Would recommend to others
Chennai,Physics,Morning,1.6,36.0,,56.1,Medium,Could use more practice problems
Mumbai,Math,Weekend,19.6,54.4,66.9,51.8,Low,Would recommend to others
Chennai,Physics,Morning,3.1,20.0,,61.4,Medium,"Great course, learned a lot"
Mumbai,CS,Weekend,0.1,92.3,52.0,63.4,Low,
Delhi,Math,Morning,2.5,28.7,,52.0,Low,
Chennai,Physics,Weekend,7.2,77.6,65.0,80.6,High,Excellent teaching style
Chennai,Math,Morning,0.5,61.8,62.0,47.0,,Could use more practice problems
Mumbai,Physics,Morning,7.0,40.4,48.0,64.7,High,Would recommend to others
Chennai,Math,Morning,,62.2,41.4,66.0,Low,Need more visual aids
Mumbai,CS,Weekend,9.2,60.8,78.4,81.4,Low,Pace was too fast
Chennai,Math,Weekend,4.8,54.0,35.4,49.4,Medium,Could use more practice problems
Delhi,Chemistry,Morning,3.7,55.3,78.5,78.6,Medium,Need more visual aids
Mumbai,CS,Weekend,4.0,49.5,74.4,66.2,Medium,"Great course, learned a lot"
Chennai,CS,Weekend,1.4,29.8,,96.5,High,Excellent teaching style
Chennai,Chemistry,Weekend,1.2,24.6,,30.3,Low,"Great course, learned a lot"
Mumbai,CS,Evening,6.8,57.4,80.9,45.9,High,"Great course, learned a lot"
Delhi,Biology,Evening,2.2,84.2,74.6,53.3,Medium,Could use more practice problems
Bangalore,CS,Weekend,2.3,53.0,65.9,,High,"Great course, learned a lot"
Delhi,Chemistry,Evening,5.2,78.7,76.2,55.6,High,Could use more practice problems
Pune,Math,Evening,39.7,49.2,52.8,57.0,Low,
Delhi,Physics,Evening,2.4,20.0,,35.9,Low,Pace was too fast
Mumbai,Math,Evening,7.6,82.6,67.8,50.9,Medium,Could use more practice problems
Chennai,Math,Weekend,0.4,38.7,,30.8,Medium,Instructor was very helpful
Pune,Chemistry,Morning,6.0,56.0,74.1,90.5,Low,"Great course, learned a lot"
Delhi,Biology,Morning,9.7,73.1,69.2,30.5,High,
Chennai,Physics,Weekend,0.3,87.6,48.8,74.8,,
Chennai,Biology,Weekend,6.3,99.4,47.8,81.3,Medium,Pace was too fast
Chennai,Chemistry,Evening,15.2,54.6,69.1,65.2,High,Excellent teaching style
Pune,Biology,Evening,1.2,86.7,47.8,95.0,,Would recommend to others
Chennai,Physics,Evening,26.3,35.5,,59.3,,"Great course, learned a lot"
Chennai,Math,Evening,1.0,41.5,49.8,78.8,Low,"Great course, learned a lot"
Bangalore,Physics,Morning,3.7,65.9,60.3,74.0,Medium,Instructor was very helpful
Chennai,Physics,Weekend,12.8,81.4,79.7,53.5,Low,"Great course, learned a lot"
Delhi,Chemistry,Morning,3.9,49.6,57.1,41.6,Low,Would recommend to others
Bangalore,Biology,Weekend,18.2,74.8,60.4,94.9,Medium,Would recommend to others
Delhi,CS,Morning,13.0,94.4,39.4,36.1,,Materials were comprehensive
Chennai,Physics,Weekend,10.7,86.3,98.2,62.4,Medium,Need more visual aids
Delhi,Chemistry,Evening,6.8,39.5,,53.8,Medium,"Great course, learned a lot"
Mumbai,Physics,Weekend,7.7,20.0,,74.9,Medium,Would recommend to others
Bangalore,Math,Weekend,4.6,59.4,63.5,47.2,Medium,Would recommend to others
Delhi,Math,Weekend,13.8,97.3,71.5,86.6,Medium,Could use more practice problems
Chennai,CS,Weekend,12.7,54.7,52.6,61.7,High,Would recommend to others
Pune,Physics,Weekend,34.4,55.3,66.3,63.0,,Excellent teaching style
Bangalore,Math,Evening,4.3,84.3,52.3,,,Would recommend to others
Chennai,CS,Morning,2.2,56.8,72.4,69.1,High,Need more visual aids
Bangalore,Math,Weekend,2.5,64.7,76.5,81.0,Medium,Materials were comprehensive
Mumbai,Chemistry,Weekend,0.9,50.4,81.0,50.6,Medium,Instructor was very helpful
Chennai,Chemistry,Evening,0.8,41.2,82.3,68.9,Medium,Instructor was very helpful
Delhi,Math,Weekend,8.1,59.6,81.4,41.3,Medium,
Chennai,Biology,Weekend,0.5,74.1,68.8,47.4,Medium,Could use more practice problems
Mumbai,Math,Morning,3.5,60.5,65.4,61.8,,Pace was too fast
Chennai,Chemistry,Weekend,10.0,60.2,63.0,47.1,Low,Would recommend to others
Chennai,Math,Weekend,2.7,91.8,55.1,54.3,Medium,Materials were comprehensive
Delhi,Biology,Weekend,,89.0,54.7,87.8,Medium,Would recommend to others
Mumbai,Biology,Weekend,16.5,52.8,65.4,66.3,,
Bangalore,Physics,Morning,7.6,24.6,,52.2,Medium,Need more visual aids
Pune,Biology,Morning,6.1,81.1,88.2,91.3,Low,Pace was too fast
Pune,Biology,Weekend,1.8,74.7,56.4,60.9,Low,Could use more practice problems
Delhi,CS,Morning,4.2,64.6,61.4,54.8,High,Pace was too fast
Bangalore,Physics,Evening,13.3,41.8,56.7,47.5,Medium,Would recommend to others
Mumbai,Math,Evening,12.0,65.0,83.4,48.0,Medium,Materials were comprehensive
Chennai,Chemistry,Morning,9.7,20.8,,61.7,Medium,"Great course, learned a lot"
Chennai,CS,Weekend,3.0,28.0,,87.4,Medium,Pace was too fast
